feature,importance
hour,0.4214514715625313
temp_lag_1,0.1576693180781625
temp_rolling_min_3,0.13219585292320324
temp_rolling_mean_6,0.08019719158519106
hour_sin,0.032437752879285915
temp_max,0.025181793208830395
temp_lag_2,0.021832155375242728
temp_rolling_max_3,0.02077920862191429
pressure_diff_1,0.019158791097766862
feels_like,0.012790596264395469
temp,0.008151394357848105
temp_rolling_mean_3,0.00714906436281965
temp_rolling_std_3,0.0064780243979589555
wind_chill_effect,0.006424146497941827
is_day,0.006228749422357592
temp_lag_3,0.005888966464442144
temp_min,0.005688039154862486
temp_pressure_interaction,0.004577479582085732
temp_diff_1,0.003731274957307548
hour_cos,0.0031841174323407203
wind_speed,0.0029276346985478664
humidity,0.0019098230804580807
wind_speed_lag_1,0.0018437098106421363
wind_deg,0.0016752742012693055
humidity_lag_1,0.001556485908474439
temp_diff_2,0.0015103075789605939
temp_lag_4,0.0013585240676885074
temp_humidity_interaction,0.0009686546626070763
wind_gust,0.0009677065968770386
dow_cos,0.0009272179304795646
humidity_rolling_mean_3,0.0006137477520140797
day_of_month,0.0005778731089579014
pressure_rolling_mean_3,0.0003704278450189943
clouds_all,0.00036822109138671293
pressure,0.0003315047212885128
dow_sin,0.0003220912450348588
pressure_lag_1,0.00022756093616821353
grnd_level,0.00012886175463751708
day_of_week,7.939314077163743e-05
is_weekend,7.88215130048138e-05
sea_level,4.3344590503007295e-05
weather_id,1.7425538720491732e-05
visibility,0.0
pop,0.0
month_sin,0.0
month,0.0
month_cos,0.0
